raw_text,category,difficulty
PGS*FLYPGS.COM,Akaryakıt / Ulaşım,hard
UBER *TRIP HELP.UBER.COM,Akaryakıt / Ulaşım,easy
BITAKSI ISTANBUL,Akaryakıt / Ulaşım,easy
ISTANBULKART DOLUM BELBIM,Akaryakıt / Ulaşım,easy
ISPARK KADIKOY KATLI OTOPARK,Akaryakıt / Ulaşım,easy
MARTI ILERI TEKNOLOJI A.S.,Akaryakıt / Ulaşım,medium
OBILET.COM OTOBUS BILETI,Akaryakıt / Ulaşım,hard
KGM OTOYOL GECIS UCRETI HGS,Akaryakıt / Ulaşım,medium
ZARA İSTİNYEPARK GİYİM,Giyim / Aksesuar,easy
ZARA TR 3342 ZORLU,Giyim / Aksesuar,easy
LC WAIKIKI MAGAZACILIK HIZ.,Giyim / Aksesuar,easy
LCW 0412 FORUM ISTANBUL,Giyim / Aksesuar,hard
H&M HENNES MAURITZ TR,Giyim / Aksesuar,easy
BOYNER BÜYÜK MAĞAZACILIK,Giyim / Aksesuar,easy
DEFACTO PERAKENDE TIC AS,Giyim / Aksesuar,easy
KOTON MAGAZACILIK TEKSTIL,Giyim / Aksesuar,easy
MAVİ GİYİM SAN. VE TİC. A.Ş.,Giyim / Aksesuar,easy
FLO MAGAZACILIK 0231,Giyim / Aksesuar,easy
NIKE FACTORY STORE OPTIMUM,Giyim / Aksesuar,easy
SUWEN TEKSTIL ATAKOY,Giyim / Aksesuar,medium
ELIF BUTIK MODA TASARIM,Giyim / Aksesuar,medium
KEMAL TANCA AYAKKABI,Giyim / Aksesuar,medium
ATASAY KUYUMCULUK AKASYA,Giyim / Aksesuar,medium
VAKKO NISANTASI,Giyim / Aksesuar,easy
MEDIAMARKT BİLGİSAYAR (03/06),Elektronik / Teknoloji,easy
MEDIA MARKT TURKEY TIC LTD,Elektronik / Teknoloji,medium
TEKNOSA IC VE DIS TIC A.S.,Elektronik / Teknoloji,easy
VATAN BILGISAYAR SAN TIC,Elektronik / Teknoloji,easy
APPLE STORE ZORLU CENTER,Elektronik / Teknoloji,easy
ASUS TURKIYE ONLINE STORE,Elektronik / Teknoloji,medium
ITOPYA BILGISAYAR,Elektronik / Teknoloji,easy
GUNES ELEKTRONIK BILISIM,Elektronik / Teknoloji,medium
TURKCELL SUPERBOX CIHAZ GSM AKSESUAR,Elektronik / Teknoloji,hard
SINERJI BILGISAYAR TEKNOLOJI,Elektronik / Teknoloji,medium
NETFLIX.COM AMSTERDAM,Dijital Servis / Abonelik,easy
NETFLIX INTERNATIONAL B.V.,Dijital Servis / Abonelik,easy
SPOTIFY ABONELİK STOCKHOLM,Dijital Servis / Abonelik,easy
SPOTIFY P2A1B3C4D5,Dijital Servis / Abonelik,easy
APPLE.COM/BILL ITUNES.COM,Dijital Servis / Abonelik,easy
GOOGLE *YOUTUBEPREMIUM,Dijital Servis / Abonelik,medium
GOOGLE*GOOGLE ONE STORAGE,Dijital Servis / Abonelik,medium
DISNEY PLUS TURKEY,Dijital Servis / Abonelik,easy
OPENAI *CHATGPT SUBSCR,Dijital Servis / Abonelik,easy
AMAZON PRIME UYELIK,Dijital Servis / Abonelik,easy
EXXEN DIJITAL YAYINCILIK,Dijital Servis / Abonelik,easy
PLAYSTATION NETWORK LONDON,Dijital Servis / Abonelik,easy
STEAMGAMES.COM 4259522985,Dijital Servis / Abonelik,medium
MICROSOFT*365 PERSONAL,Dijital Servis / Abonelik,easy
ADOBE CREATIVE CLOUD SUBSCRIPTION,Dijital Servis / Abonelik,medium
GRATIS IC VE DIS TIC A.S.,Sağlık / Kozmetik,easy
WATSONS GUZELLIK VE BAKIM,Sağlık / Kozmetik,easy
ROSSMANN MAGAZACILIK 0122,Sağlık / Kozmetik,easy
ECZANE DERMAN KADIKÖY,Sağlık / Kozmetik,easy
YENI HAYAT ECZANESI,Sağlık / Kozmetik,easy
ACIBADEM SAGLIK HIZMETLERI,Sağlık / Kozmetik,easy
MEMORIAL SISLI HASTANESI,Sağlık / Kozmetik,easy
OZEL DENTAL DIS POLIKLINIGI,Sağlık / Kozmetik,medium
ATASUN OPTIK CEVAHIR,Sağlık / Kozmetik,medium
SEPHORA KOZMETIK A.S.,Sağlık / Kozmetik,easy
SALON TOLGA KUAFOR,Sağlık / Kozmetik,medium
IKEA UMRANIYE MAPA MOBILYA,Ev / Yaşam / Fatura,easy
KOÇTAŞ YAPI MARKETLERİ,Ev / Yaşam / Fatura,easy
BAUHAUS TR ICERENKOY,Ev / Yaşam / Fatura,easy
ENGLISH HOME TEKSTIL,Ev / Yaşam / Fatura,easy
İGDAŞ DOĞALGAZ DAĞITIM,Ev / Yaşam / Fatura,easy
İSKİ SU FATURASI VEZNE,Ev / Yaşam / Fatura,easy
CK BOGAZICI ELEKTRIK PERAKENDE,Ev / Yaşam / Fatura,easy
TURKCELL İLETİŞİM HİZMETLERİ,Ev / Yaşam / Fatura,easy
TURK TELEKOM FATURA ODEME,Ev / Yaşam / Fatura,easy
VODAFONE TELEKOM FATURA,Ev / Yaşam / Fatura,easy
ENERJISA AYESAS ELEKTRIK,Ev / Yaşam / Fatura,easy
DOGTAS MOBILYA MODOKO,Ev / Yaşam / Fatura,medium
YILDIZ NALBUR HIRDAVAT,Ev / Yaşam / Fatura,medium
SITE YONETIMI AIDAT ODEMESI,Ev / Yaşam / Fatura,medium
D&R MAGAZACILIK KANYON,Eğlence / Hobi / Kitap,easy
D VE R MUZIK KITAP,Eğlence / Hobi / Kitap,medium
CINEMAXIMUM ZORLU,Eğlence / Hobi / Kitap,easy
BILETIX BILET DAGITIM,Eğlence / Hobi / Kitap,easy
PASSO MOBIL BILET,Eğlence / Hobi / Kitap,easy
KITAPYURDU.COM,Eğlence / Hobi / Kitap,easy
PANDORA KITABEVI BEYOGLU,Eğlence / Hobi / Kitap,medium
MACFIT SPOR SALONU UYELIK,Eğlence / Hobi / Kitap,medium
TOYZZ SHOP OYUNCAK,Eğlence / Hobi / Kitap,easy
NEZIH KIRTASIYE KADIKOY,Eğlence / Hobi / Kitap,medium
IBB SEHIR TIYATROLARI,Eğlence / Hobi / Kitap,medium
AKDİ / GECİKME FAİZİ,Finans / Vergi / Masraf,easy
%15 KAYNAK KULLANIMI DESTEKLEME FONU (KKDF),Finans / Vergi / Masraf,easy
%15 BANKA VE SİGORTA MUAMELELERİ VERGİSİ (BSMV),Finans / Vergi / Masraf,easy
KART YILLIK UYELIK UCRETI,Finans / Vergi / Masraf,easy
NAKIT AVANS KOMISYONU,Finans / Vergi / Masraf,easy
GIB VERGI ODEMESI MTV,Finans / Vergi / Masraf,medium
ALISVERIS FAIZI,Finans / Vergi / Masraf,easy
ANADOLU SIGORTA PRIMI KASKO,Finans / Vergi / Masraf,medium
TRENDYOL PAZARYERİ İSTANBUL,E-Ticaret / Pazaryeri,easy
DSM GRUP TRENDYOL,E-Ticaret / Pazaryeri,medium
HEPSİBURADA ELEKTRONİK,E-Ticaret / Pazaryeri,medium
D-MARKET HEPSIBURADA.COM,E-Ticaret / Pazaryeri,medium
AMAZON.COM.TR ISTANBUL,E-Ticaret / Pazaryeri,easy
AMZN MKTP TR*2K4L98,E-Ticaret / Pazaryeri,hard
N11.COM DOGUS PLANET,E-Ticaret / Pazaryeri,easy
CICEKSEPETI INTERNET HIZM,E-Ticaret / Pazaryeri,easy
TEMU.COM DUBLIN,E-Ticaret / Pazaryeri,easy
ALIEXPRESS.COM LUXEMBOURG,E-Ticaret / Pazaryeri,easy
HAVALE AHMET YILMAZ,Diğer / Belirsiz,easy
FAST GONDERIM ZEYNEP KAYA 482913,Diğer / Belirsiz,easy
OZKAN INSAAT TAAHHUT LTD,Diğer / Belirsiz,easy
XQZW 12345,Diğer / Belirsiz,medium
KADIKOY 3. NOTERLIGI,Diğer / Belirsiz,medium
AKSOY HUKUK BUROSU,Diğer / Belirsiz,easy
DOSTLAR VETERINER KLINIGI,Diğer / Belirsiz,hard
MAVI NAKLIYAT EVDEN EVE,Diğer / Belirsiz,hard
LOSEV BAGIS,Diğer / Belirsiz,medium
REF:88412 ISLEM,Diğer / Belirsiz,medium
TEKIN MUHENDISLIK DANISMANLIK,Diğer / Belirsiz,easy
VELTRAN DIS TICARET LTD STI,Diğer / Belirsiz,medium
